timestamp,Inquisitor's_armour_set,Arcane_spirit_shield,Arcane_sigil,Sanguinesti_staff_(uncharged),Dragon_hunter_lance,Dragon_claws,Craw's_bow_(u),3rd_age_kiteshield,3rd_age_full_helmet,3rd_age_robe,Gilded_scimitar,Gilded_armour_set_(lg),Anglerfish,Manta_ray,Shark,Magic_logs,Smoke_battlestaff,Anguish_ornament_kit,Tormented_ornament_kit,Occult_ornament_kit,Torture_ornament_kit
1612828800000,531758548,159742245,157403161,89598655,73679496,58271575,7590228,26418867,14996731,25853229,15684097,12428341,1069,1179,693,999,1623892,8147963,5372897,4540167,6074573
1612915200000,526662014,159570496,157403161,90447500,73624175,58044464,7564829,26418867,14996731,26983397,15684097,12428341,1075,1157,687,1001,1638033,8159175,5379475,4571403,6111067
1613001600000,516622888,162185333,157403161,91182611,73511166,57758460,7565702,25936257,14645661,26983397,15579041,12415457,1074,1113,686,1005,1662862,8138829,5370166,4613401,6114629
1613088000000,504066391,161273868,157403161,89672160,73139192,57517809,7711682,25936257,14518212,28331365,15540581,12322524,1075,1076,682,1013,1690614,8091914,5329510,4631538,6073157
1613174400000,493944168,162010681,159107728,89856667,73209672,57684210,7630439,25641296,14518212,28331365,15536031,12322524,1082,1089,679,1020,1692036,8043285,5331919,4589457,5981485
1613260800000,476153559,163841864,159107728,89374865,73392075,57712444,7602915,25641296,14351026,29409389,15475001,12316005,1086,1077,680,1015,1674209,8014328,5340844,4551190,5923695
1613347200000,462337853,163193222,159107728,88823169,73441038,57992978,7578529,25442999,14351026,29409389,15494133,12316005,1094,1064,681,1011,1672886,8020328,5322657,4499156,5861560
1613433600000,441255618,163296139,159107728,88311831,73360354,57975423,7641120,25442999,14837117,29071056,15511033,12287738,1086,1046,679,1015,1675659,8208164,5366251,4493883,5782450
1613520000000,435106008,163005029,161077847,88341516,73557418,57866420,7945358,25671349,14837117,27704762,15569761,12302758,1086,1051,678,1014,1668583,8270870,5305213,4477461,5711353
1613606400000,455430181,164174162,161077847,88105300,73925118,58031272,7944762,25671349,15425801,27704762,15569761,12302758,1103,1099,675,1020,1675667,8309350,5265195,4450606,5643051
1613692800000,473416384,164530161,161077847,86599408,73843153,57980541,7920023,25212796,15425801,26319523,15602756,12265985,1106,1123,673,1028,1678913,8292420,5195667,4404399,5598798
1613779200000,455668510,165006190,161077847,85665495,74229713,57873382,7902034,25212796,15770639,26319523,15684241,12265985,1110,1121,672,1028,1673032,8266635,5176583,4393412,5545555
1613865600000,436657890,163418855,161077847,86078449,74224229,58205307,8019582,25537740,15770639,25003546,16006058,12272068,1116,1110,688,1022,1665402,8299691,5138640,4518114,5512994
1613952000000,437605441,163502148,162369275,85192492,74444717,58193091,8059001,25537740,16456995,23753368,16223588,12188626,1116,1126,691,1016,1648603,8303071,5177868,4500926,5515659
