timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,id
1627286400,213,209,355692,287280,2
1627290000,210,208,470482,408224,2
1627293600,212,208,205016,286222,2
1627297200,214,211,706533,203071,2
1627300800,214,212,400744,92008,2
1627304400,214,212,653350,212964,2
1627308000,215,212,668630,338213,2
1627311600,215,211,671180,351852,2
1627315200,214,211,485345,407547,2
1627318800,216,212,466694,352095,2
1627322400,215,211,1151955,329442,2
1627326000,215,211,868436,523443,2
1627329600,217,213,805428,552294,2
1627333200,216,213,555962,244838,2
1627336800,216,214,643216,219846,2
1627340400,215,212,1133698,473765,2
1627344000,202,211,1561902,525258,2
1627347600,213,209,709841,464218,2
1627351200,208,206,1300954,500158,2
1627354800,208,202,633104,918173,2
1627358400,214,211,841590,438831,2
1627362000,211,207,827118,331675,2
1627365600,210,206,669157,169945,2
1627369200,208,205,554822,215736,2
1627372800,208,205,217584,293626,2
1627376400,209,205,493000,216926,2
1627380000,207,206,543862,119789,2
1627383600,209,206,651773,287559,2
1627387200,210,208,645892,251434,2
1627390800,209,206,881610,201142,2
1627394400,206,203,950051,188505,2
1627398000,206,204,1165428,249715,2
1627401600,205,202,1179006,158220,2
1627405200,204,198,1238958,311078,2
1627408800,200,196,721002,203373,2
1627412400,201,195,1117767,343070,2
1627416000,206,203,1072301,208104,2
1627419600,204,198,1278037,377377,2
1627423200,204,201,869369,218254,2
1627426800,205,200,1177753,249326,2
1627430400,204,199,1004959,199522,2
1627434000,202,198,1161718,211801,2
1627437600,201,197,929384,288800,2
1627441200,196,193,1894251,230596,2
1627444800,194,187,1104863,166516,2
1627448400,189,184,824331,223979,2
1627452000,186,185,733604,154508,2
1627455600,187,186,370644,148775,2
1627459200,196,193,377918,95891,2
1627462800,193,190,697848,162594,2
1627466400,190,186,261936,78004,2
1627470000,197,194,225458,54446,2
1627473600,196,193,439085,167104,2
1627477200,200,196,395515,189029,2
1627480800,200,196,1164866,242168,2
1627484400,197,195,630453,149078,2
1627488000,199,198,323617,131574,2
1627491600,200,196,945577,138936,2
1627495200,197,195,914659,171212,2
1627498800,197,194,1166722,199126,2
1627502400,197,194,1299425,217609,2
1627506000,196,193,889372,196518,2
1627509600,195,191,720782,277128,2
1627513200,194,188,1066448,346083,2
1627516800,193,189,948320,278033,2
1627520400,194,190,818824,343986,2
1627524000,193,190,1132499,328629,2
1627527600,193,189,826662,276879,2
1627531200,189,187,1126958,267122,2
1627534800,191,188,716451,117628,2
1627538400,194,190,91905,109574,2
1627542000,194,188,375924,277882,2
1627545600,195,192,633509,192943,2
1627549200,194,191,582376,207222,2
1627552800,193,189,445555,187842,2
1627556400,190,188,754303,222697,2
1627560000,188,186,678495,897700,2
1627563600,191,188,520085,198557,2
1627567200,194,190,1220189,257760,2
1627570800,192,188,901767,369556,2
1627574400,188,187,1298908,204733,2
1627578000,193,188,639684,426573,2
1627581600,191,187,1266823,277981,2
1627585200,189,183,1262111,367842,2
1627588800,191,188,984888,224335,2
1627592400,190,185,1484925,317012,2
1627596000,186,182,942349,277666,2
1627599600,187,182,1162449,265819,2
1627603200,189,187,1002856,199413,2
1627606800,188,184,847677,436476,2
1627610400,186,182,1308923,256716,2
1627614000,182,180,1083448,239517,2
1627617600,179,173,736507,404554,2
1627621200,180,178,801415,302551,2
1627624800,180,175,561392,190395,2
1627628400,179,175,703437,158694,2
1627632000,179,173,627530,175606,2
1627635600,179,179,582237,314362,2
1627639200,181,176,723956,245824,2
1627642800,183,182,283102,329713,2
1627646400,185,182,552869,233638,2
1627650000,185,182,565802,407926,2
1627653600,185,182,819894,244842,2
1627657200,185,183,731020,370114,2
1627660800,181,178,1058061,334276,2
1627664400,185,181,747262,411805,2
1627668000,187,182,1282474,303352,2
1627671600,184,180,877739,271712,2
1627675200,182,180,990134,189938,2
1627678800,181,179,1135285,163098,2
1627682400,183,177,925479,347820,2
1627686000,183,175,1215285,378577,2
1627689600,181,177,1071630,158842,2
1627693200,177,168,1226752,145638,2
1627696800,180,174,1114159,184461,2
1627700400,180,174,903281,200639,2
1627704000,178,175,900558,146930,2
1627707600,178,170,798887,154104,2
1627711200,177,172,757556,194968,2
1627714800,169,165,743395,134084,2
1627718400,166,155,564523,172383,2
1627722000,175,167,461344,100391,2
1627725600,172,167,927142,108320,2
1627729200,173,169,635327,141998,2
1627732800,176,171,971650,242978,2
1627736400,173,167,1029446,137280,2
1627740000,175,170,580964,221381,2
1627743600,178,172,1194357,153975,2
1627747200,174,170,904814,283049,2
1627750800,176,170,850680,428115,2
1627754400,174,172,771565,196874,2
1627758000,179,176,975177,256346,2
1627761600,176,172,867694,406487,2
1627765200,178,174,1156712,239765,2
1627768800,175,170,975730,462768,2
1627772400,177,175,886124,254636,2
1627776000,175,171,1083533,379350,2
1627779600,174,168,1319458,270455,2
1627783200,178,175,744103,258855,2
1627786800,173,170,845114,239299,2
1627790400,179,169,540345,669855,2
1627794000,176,168,798689,264171,2
1627797600,177,171,933583,172315,2
1627801200,174,172,637701,98708,2
1627804800,175,170,652739,160389,2
1627808400,177,170,687557,171059,2
1627812000,173,168,759097,295160,2
1627815600,173,169,736402,371965,2
1627819200,173,170,632483,168456,2
1627822800,174,169,539835,425036,2
1627826400,173,170,1485360,369366,2
1627830000,176,174,768322,355351,2
1627833600,177,174,474122,462599,2
1627837200,176,172,1079464,632914,2
1627840800,175,172,964135,485927,2
1627844400,175,170,1101427,805142,2
1627848000,177,172,1335208,452654,2
1627851600,178,172,824349,558897,2
1627855200,174,170,1248223,802895,2
1627858800,178,173,1120554,368787,2
1627862400,177,174,1167231,332409,2
1627866000,176,170,1408582,535928,2
1627869600,177,173,1019486,288812,2
1627873200,176,173,1001626,417536,2
1627876800,176,172,530883,275037,2
1627880400,175,170,1025927,238339,2
1627884000,172,169,758415,265479,2
1627887600,169,168,876356,81548,2
1627891200,170,168,557653,212569,2
1627894800,173,169,448293,143299,2
1627898400,173,170,626721,193803,2
1627902000,174,171,551054,268850,2
1627905600,173,170,684851,316847,2
1627909200,174,171,941644,212928,2
1627912800,172,169,1210863,571118,2
1627916400,175,169,947226,769059,2
1627920000,175,172,669380,294867,2
1627923600,175,171,1044238,409348,2
1627927200,174,171,1322101,413093,2
1627930800,175,172,723900,468665,2
1627934400,176,172,825667,568224,2
1627938000,178,173,928659,365710,2
1627941600,178,174,917117,525897,2
1627945200,177,174,956846,427925,2
1627948800,177,171,817140,520940,2
1627952400,180,174,864386,477532,2
1627956000,175,171,1438767,304655,2
1627959600,177,173,330813,125668,2
1627963200,175,171,1178491,221917,2
1627966800,175,172,558613,228763,2
1627970400,175,171,628682,282105,2
1627974000,172,170,804037,120094,2
1627977600,172,169,390208,609720,2
1627981200,170,168,904358,208606,2
1627984800,173,170,285376,256288,2
1627988400,176,173,385553,376272,2
1627992000,178,175,446572,230571,2
1627995600,176,173,811750,404132,2
1627999200,178,175,655870,237345,2
1628002800,179,173,880429,555487,2
1628006400,175,173,719205,419749,2
1628010000,178,175,811157,484847,2
1628013600,179,173,1186829,846968,2
1628017200,179,175,1052204,435451,2
1628020800,178,175,480983,325882,2
1628024400,180,175,1187414,452984,2
1628028000,179,176,645488,661354,2
1628031600,180,176,1134328,468005,2
1628035200,179,176,376485,424524,2
1628038800,177,175,1046093,357625,2
1628042400,178,174,1269245,299160,2
1628046000,178,175,710367,311961,2
1628049600,178,175,517106,332849,2
1628053200,179,175,374842,380603,2
1628056800,177,175,559957,267910,2
1628060400,177,175,444248,232180,2
1628064000,180,176,264155,262152,2
1628067600,179,177,449933,232465,2
1628071200,178,176,325331,297664,2
1628074800,179,176,640656,129333,2
1628078400,180,177,696574,238437,2
1628082000,181,178,715368,298936,2
1628085600,181,178,877841,328614,2
1628089200,180,177,235710,109741,2
1628092800,180,177,464119,472350,2
1628096400,180,177,756691,403046,2
1628100000,180,177,788150,570374,2
1628103600,179,177,577027,318035,2
1628107200,182,179,611638,389310,2
1628110800,182,180,684486,480289,2
1628114400,184,181,526344,410623,2
1628118000,184,181,661842,640756,2
1628121600,184,181,721043,555411,2
1628125200,184,179,403202,684792,2
1628128800,183,179,748778,648017,2
1628132400,183,178,720374,531856,2
